"OTU_Label","OTU_ID","Cluster","Division","Class","Order","Family","Genus","Species"
"Phaeophyceae_XX_ASV_8499","ASV_8499","C5","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA
"Dino-Group-I-Clade-1_X_ASV_25271","ASV_25271","C2","Alveolata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp."
"Pseudovorticella_ASV_29497","ASV_29497","C2","Alveolata","Oligohymenophorea","Peritrichia_2","Sessilida","Pseudovorticella",NA
"Rhabdochona_ASV_27104","ASV_27104","C5","Opisthokonta","Nematoda","Chromadorea","Chromadorea_X","Rhabdochona","Rhabdochona_guerreroensis"
"OTU_ASV_7470","ASV_7470","C5","Opisthokonta",NA,NA,NA,NA,NA
"Mediophyceae_ASV_9615","ASV_9615","C1","Stramenopiles","Mediophyceae","Thalassiosirales",NA,NA,NA
"Dino-Group-I-Clade-1_X_ASV_25263","ASV_25263","C2","Alveolata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp."
"Dino-Group-I-Clade-1_X_ASV_21086","ASV_21086","C1","Alveolata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp."
"Palmaria_ASV_24380","ASV_24380","C2","Rhodophyta","Florideophyceae","Colaconematales","Colaconematales_X","Palmaria","Palmaria_palmata"
"Pseudoscourfieldiaceae_X_ASV_25684","ASV_25684","C2","Chlorophyta","Pseudoscourfieldiophyceae","Pseudoscourfieldiales","Pseudoscourfieldiaceae","Pseudoscourfieldiaceae_X","Pseudoscourfieldiaceae_X_sp."
"Ampullofolliculina_ASV_3619","ASV_3619","C1","Alveolata","Heterotrichea","Heterotrichea_X","Folliculinidae","Ampullofolliculina","Ampullofolliculina_lageniformis"
"Loxosomella_ASV_16675","ASV_16675","C1","Opisthokonta","Entoprocta","Entoprocta_X","Entoprocta_XX","Loxosomella","Loxosomella_sp."
"Naviculaceae_ASV_9674","ASV_9674","C1","Stramenopiles","Bacillariophyceae","Naviculales","Naviculaceae",NA,NA
"Pterocystida_ASV_20844","ASV_20844","C2","Centroplasthelida","Pterocystida","Pterista",NA,NA,NA
"Zoothamnium_2_ASV_2729","ASV_2729","C4","Alveolata","Oligohymenophorea","Peritrichia_2","Zoothamniidae","Zoothamnium_2","Zoothamnium_alternans"
"Pterocystidae_ASV_21686","ASV_21686","C2","Centroplasthelida","Pterocystida","Pterista","Pterocystidae",NA,NA
"Oerstedia_ASV_17136","ASV_17136","C3","Opisthokonta","Nemertea","Nemertea_X","Nemertea_XX","Oerstedia","Oerstedia_dorsalis"
"Maxillopoda_ASV_13792","ASV_13792","C5","Opisthokonta","Arthropoda","Crustacea","Maxillopoda",NA,NA
"Annelida_XX_ASV_18258","ASV_18258","C2","Opisthokonta","Annelida","Annelida_X","Annelida_XX",NA,NA
"Lichomolgus_ASV_17960","ASV_17960","C3","Opisthokonta","Arthropoda","Crustacea","Maxillopoda","Lichomolgus","Lichomolgus_marginatus"
"Spirotrichea_ASV_29935","ASV_29935","C5","Alveolata","Spirotrichea","Hypotrichia",NA,NA,NA
"Bougainvillia_ASV_16800","ASV_16800","C3","Opisthokonta","Cnidaria","Cnidaria_X","Hydrozoa","Bougainvillia","Bougainvillia_sp."
"Navicula_ASV_10118","ASV_10118","C5","Stramenopiles","Bacillariophyceae","Naviculales","Naviculaceae","Navicula",NA
"CCW10-lineage_X_ASV_13480","ASV_13480","C2","Rhizaria","Filosa-Thecofilosea","Ventricleftida","CCW10-lineage","CCW10-lineage_X","CCW10-lineage_X_sp."
"Bryocamptus_ASV_13856","ASV_13856","C3","Opisthokonta","Arthropoda","Crustacea","Maxillopoda","Bryocamptus","Bryocamptus_stillae"
"OTU_ASV_17235","ASV_17235","C2","Opisthokonta",NA,NA,NA,NA,NA
"Argopecten_ASV_16928","ASV_16928","C5","Opisthokonta","Mollusca","Bivalvia","Pectinoida","Argopecten",NA
